ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,real_net_sentiment,generated_net_sentiment,kl_divergence
SPY,2023-03-28,2023-03-29,0.01564071225669357,0.6398250806237149,0.34453420711959154,0.06331017104201656,0.08068222108044554,0.8560076078775379,neutral,positive,False,0.328893494862898,0.7926974368355214,0.9894467402296173
QQQ,2023-03-29,2023-03-30,0.07909283963798373,0.49019626878640654,0.4307108915756097,0.029733818245931104,0.9292383263203376,0.04102785543373119,neutral,neutral,True,0.35161805193762596,0.011294037187800088,0.7765511996721435
SPY,2023-03-29,2023-03-30,0.968230279869855,0.01917328122600418,0.012596438904140861,0.016125962738914888,0.9034125545402077,0.08046148272087733,negative,neutral,False,-0.9556338409657141,0.06433551998196244,3.8677145774692847
QQQ,2023-03-30,2023-03-31,0.2320097227102353,0.40470662145058045,0.36328365583918426,0.012197581710361454,0.6251943532788841,0.36260806501075443,neutral,neutral,True,0.13127393312894897,0.350410483300393,0.5080635302666402
SPY,2023-03-30,2023-03-31,0.5487032737099854,0.07585578694402378,0.3754409393459908,0.013851648129579076,0.9253377299733719,0.06081062189704894,negative,neutral,False,-0.17326233436399457,0.04695897376746986,2.512452576749286
QQQ,2023-04-03,2023-04-04,0.02680179214037848,0.9023535621385619,0.07084464572105968,0.570181535850878,0.3086593082101798,0.12115915593894222,neutral,negative,False,0.044042853580681204,-0.44902237991193583,0.8480538590820105
SPY,2023-04-03,2023-04-04,0.03111138217979209,0.9221699902576952,0.04671862756251266,0.29896952810974337,0.6393456864551995,0.06168478543505712,neutral,neutral,True,0.01560724538272057,-0.23728474267468624,0.25439569947287655
QQQ,2023-04-04,2023-04-05,0.08482409855678494,0.8664281802917239,0.04874772115149123,0.02145909780212279,0.7785110153103421,0.20002988688753517,neutral,neutral,True,-0.03607637740529371,0.17857078908541238,0.14046684952092944
SPY,2023-04-04,2023-04-05,0.6974935427681573,0.14501517795003685,0.15749127928180576,0.5338165620836767,0.044311399347410366,0.4218720385689129,negative,negative,True,-0.5400022634863516,-0.11194452351476375,0.20328665513728134
QQQ,2023-04-05,2023-04-06,0.04462787485564266,0.7794422521005843,0.17592987304377308,0.9443081562604722,0.03923652423219495,0.016455319507332852,neutral,negative,False,0.13130199818813043,-0.9278528367531393,2.6103761640761465
SPY,2023-04-05,2023-04-06,0.06121714458776373,0.1232549333814899,0.8155279220307463,0.6655572690007683,0.31358876999610347,0.02085396100312822,positive,negative,False,0.7543107774429826,-0.6447033079976401,2.7287882414171913
QQQ,2023-04-06,2023-04-07,0.0460897430194876,0.9206593769886997,0.033250879991812705,0.02472631334442834,0.022540558801310027,0.9527331278542617,neutral,positive,False,-0.012838863027674896,0.9280068145098334,3.332574043207204
SPY,2023-04-06,2023-04-07,0.0460897430194876,0.9206593769886997,0.033250879991812705,0.7941513302556575,0.09736143362396507,0.10848723612037736,neutral,negative,False,-0.012838863027674896,-0.6856640941352802,1.8978847665139431
QQQ,2023-04-10,2023-04-11,0.016735418547662837,0.5731927423362034,0.4100718391161337,0.9576109267236612,0.028291851817219067,0.014097221459119723,neutral,negative,False,0.39333642056847085,-0.9435137052645415,3.038896032022228
SPY,2023-04-10,2023-04-11,0.010248054555365408,0.6536004421069732,0.33615150333766136,0.018040360042808574,0.9268580839569641,0.05510155600022729,neutral,neutral,True,0.32590344878229593,0.03706119595741872,0.373790078517797
QQQ,2023-04-11,2023-04-12,0.36118848208154686,0.41136599813002345,0.22744551978842972,0.014058567478816453,0.5286965926833704,0.45724483983781306,neutral,neutral,True,-0.13374296229311713,0.4431862723589966,0.9104267403762175
SPY,2023-04-11,2023-04-12,0.05877120004019737,0.4248344866571241,0.5163943133026785,0.01643246180100939,0.9181709033016794,0.06539663489731118,positive,neutral,False,0.4576231132624811,0.048964173096301786,0.814561649138707
