label,run_id,tickers,train,test,rougeL,bertscore_f1,sent_match,neutral_base,dir_acc,coverage,p_value,best_ppl,best_eval_loss
GPT-2 no fine-tune,baseline-gpt2-no-finetune_nvda-amd,"NVDA,AMD",1517,326,0.0402138728368257,,0.2730061349693251,0.5828220858895705,0.5493827160493827,1.0,0.0848714346166707,,
SPY/QQQ fine-tuned,2026-04-30_15-49-24_spy-qqq_gpt2_spy-qqq-baseline,"SPY,QQQ",1410,303,0.0615116866699335,0.7318231197867063,0.3861386138613861,0.495049504950495,0.528169014084507,0.4717607973421927,0.5570709871103278,14.658637396441492,2.6850297451019287
NVDA single,2026-05-02_13-05-30_nvda_gpt2_nvda-single,NVDA,618,133,0.0697485892776541,0.7437700467898434,0.3458646616541353,0.4210526315789473,0.4615384615384615,0.5909090909090909,0.5715867180030725,29.648200608209308,3.389401435852051
NVDA structured/label scoring,2026-05-04_09-09-04_nvda_gpt2_nvda-label-scoring,NVDA,617,133,0.0664122779678556,0.7400960805720853,0.3759398496240601,0.4210526315789473,0.4962406015037593,1.0,1.0,16.567207015690222,2.8074252605438232
NVDA+AMD fine-tuned,2026-05-03_01-12-20_nvda-amd_gpt2_nvda-ambd-gpt2,"NVDA,AMD",1517,326,0.0736072495318927,0.7382529994095761,0.4417177914110429,0.5368098159509203,0.5299145299145299,0.3611111111111111,0.579290250187703,19.29161496376451,2.9596705436706543
