ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,real_net_sentiment,generated_net_sentiment,kl_divergence
AMD,2023-04-18,2023-04-19,0.9729789078635818,0.018217572161920072,0.008803519974498153,0.021168638976516767,0.023142388961697097,0.9556889720617862,negative,positive,False,-0.9641753878890836,0.9345203330852694,3.6787854915302205
NVDA,2023-04-18,2023-04-19,0.016325487340862463,0.1396430924049254,0.8440314202542122,0.02661755256107807,0.02232186608517614,0.9510605813537458,positive,positive,True,0.8277059329133497,0.9244430287926677,0.14729096982521098
AMD,2023-04-19,2023-04-20,0.022226193381584224,0.9383482109782719,0.039425595640143855,0.012686214069193884,0.9066316311541773,0.08068215477662882,neutral,neutral,True,0.01719940225855963,0.06799594070743493,0.016495697025393434
NVDA,2023-04-19,2023-04-20,0.008175174500113621,0.8349680094568652,0.15685681604302112,0.03286403423708684,0.020577250086846296,0.9465587156760669,neutral,positive,False,0.1486816415429075,0.91369468143898,2.7987356402802335
AMD,2023-04-20,2023-04-21,0.00992183217647763,0.8503793620568034,0.13969880576671892,0.0687617917887577,0.02302464523582905,0.9082135629754132,neutral,positive,False,0.1297769735902413,0.8394517711866555,2.7883962740439783
NVDA,2023-04-20,2023-04-21,0.028929699427855754,0.9112897583193313,0.059780542252812846,0.020246102651726355,0.912972118222262,0.06678177912601162,neutral,neutral,True,0.030850842824957092,0.04653567647428526,0.002023688520117434
NVDA,2023-04-21,2023-04-22,0.02609938182253736,0.8803163717669451,0.0935842464105175,0.0124168005943365,0.7938534092497155,0.19372979015594805,neutral,neutral,True,0.06748486458798014,0.18131298956161154,0.04230544379752642
AMD,2023-04-24,2023-04-25,0.015238258476762748,0.8854108751986255,0.09935086632461176,0.05947605125801246,0.8751743999303341,0.06534954881165345,neutral,neutral,True,0.08411260784784902,0.005873497553640986,0.03116397839225394
NVDA,2023-04-24,2023-04-25,0.009024632708045557,0.344583466787972,0.6463919005039824,0.010573746616814757,0.8560668810157722,0.13335937236741302,positive,neutral,False,0.6373672677959369,0.12278562575059826,0.7052333201468738
AMD,2023-04-25,2023-04-26,0.01525829204122667,0.6582730945849411,0.3264686133738322,0.8196741327886184,0.03524240588825897,0.14508346132312258,neutral,negative,False,0.3112103213326055,-0.6745906714654959,2.130997139283034
