date_t,date_t1,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
2023-05-09,2023-05-10,0.14814814814814817,0.0,0.14814814814814817,0.7033082246780396,0.7324939966201782,0.7176044583320618
2023-05-10,2023-05-11,0.06896551724137931,0.0,0.06896551724137931,0.74199378490448,0.7258730530738831,0.7338448762893677
2023-05-11,2023-05-12,0.06666666666666667,0.0,0.03333333333333333,0.7560256719589233,0.7322256565093994,0.7439354062080383
2023-05-15,2023-05-16,0.16,0.0,0.12000000000000001,0.76069176197052,0.7374553680419922,0.7488933205604553
2023-05-16,2023-05-17,0.10526315789473684,0.0,0.10526315789473684,0.7132017016410828,0.7330986857414246,0.7230133414268494
2023-05-17,2023-05-18,0.03846153846153846,0.0,0.03846153846153846,0.7468032836914062,0.7382316589355469,0.7424927353858948
2023-05-18,2023-05-19,0.0392156862745098,0.0,0.0392156862745098,0.7563377618789673,0.7923192977905273,0.7739105224609375
2023-05-22,2023-05-23,0.21818181818181817,0.0,0.14545454545454542,0.7618193626403809,0.7552222609519958,0.7585064768791199
2023-05-23,2023-05-24,0.13333333333333333,0.0,0.06666666666666667,0.7671220302581787,0.7445926666259766,0.7556895017623901
2023-05-24,2023-05-25,0.15625,0.0,0.12500000000000003,0.7706460952758789,0.7384155988693237,0.7541866898536682
2023-05-25,2023-05-26,0.0,0.0,0.0,0.734848141670227,0.7303808331489563,0.7326076626777649
2023-05-26,2023-05-27,0.14285714285714288,0.0,0.09523809523809522,0.7138835191726685,0.7436758279800415,0.7284752130508423
2023-05-30,2023-05-31,0.13559322033898305,0.0,0.10169491525423728,0.7444257140159607,0.7345091104507446,0.7394341826438904
2023-05-31,2023-06-01,0.09836065573770492,0.0,0.06557377049180328,0.7308939695358276,0.6781354546546936,0.7035269737243652
2023-06-01,2023-06-02,0.0,0.0,0.0,0.7323387265205383,0.7340327501296997,0.7331846952438354
2023-06-05,2023-06-06,0.11538461538461538,0.0,0.07692307692307691,0.7103639841079712,0.6932313442230225,0.7016931176185608
2023-06-06,2023-06-07,0.07017543859649122,0.0,0.07017543859649122,0.7525558471679688,0.755765438079834,0.7541571855545044
2023-06-07,2023-06-08,0.0655737704918033,0.0,0.03278688524590165,0.7174463868141174,0.6829749941825867,0.6997864246368408
